技能名,属性,分类,耗能,威力,技能描述,可学习精灵,技能图标,技能图标文件,属性图标,分类图标,技能组,Wiki地址
荆棘爪,草,物攻,,,,,https://patchwiki.biligame.com/images/rocom/5/5a/ltm06cprw7zeg7wlp45vo833s1v3m1s.png,荆棘爪.png,https://patchwiki.biligame.com/images/rocom/1/12/b8bsilucec9a98rsmqkmxt06c4mnnix.png,,0,https://wiki.biligame.com/rocom/%E8%8D%86%E6%A3%98%E7%88%AA
仙人掌刺击,草,物攻,,,,,https://patchwiki.biligame.com/images/rocom/e/e4/qmg39369noiygo9p4k4tiois4xjbtl0.png,仙人掌刺击.png,https://patchwiki.biligame.com/images/rocom/1/12/b8bsilucec9a98rsmqkmxt06c4mnnix.png,,0,https://wiki.biligame.com/rocom/%E4%BB%99%E4%BA%BA%E6%8E%8C%E5%88%BA%E5%87%BB
刺藤,草,物攻,,,,,https://patchwiki.biligame.com/images/rocom/8/81/0uuxasnpiqfh5mia6rz12bdwyyi7ok0.png,刺藤.png,https://patchwiki.biligame.com/images/rocom/1/12/b8bsilucec9a98rsmqkmxt06c4mnnix.png,,0,https://wiki.biligame.com/rocom/%E5%88%BA%E8%97%A4
藤绞,草,物攻,,,,,https://patchwiki.biligame.com/images/rocom/3/36/d4d20uwcxwj2q0gh149n5ezt8760mwt.png,藤绞.png,https://patchwiki.biligame.com/images/rocom/1/12/b8bsilucec9a98rsmqkmxt06c4mnnix.png,,0,https://wiki.biligame.com/rocom/%E8%97%A4%E7%BB%9E
光能聚集,草,魔攻,,,,,https://patchwiki.biligame.com/images/rocom/b/b0/k9zgp6w8yypvb8wy2bnde2y9jlu8slt.png,光能聚集.png,https://patchwiki.biligame.com/images/rocom/1/12/b8bsilucec9a98rsmqkmxt06c4mnnix.png,,0,https://wiki.biligame.com/rocom/%E5%85%89%E8%83%BD%E8%81%9A%E9%9B%86
徒长,草,状态,,,,,https://patchwiki.biligame.com/images/rocom/5/50/s5toniuyg91wv9obse5g19c0sd98orb.png,徒长.png,https://patchwiki.biligame.com/images/rocom/1/12/b8bsilucec9a98rsmqkmxt06c4mnnix.png,,0,https://wiki.biligame.com/rocom/%E5%BE%92%E9%95%BF
盛开,草,状态,,,,,https://patchwiki.biligame.com/images/rocom/8/81/k59zkgq1gg8f8o20t6cjngd94vmnz8l.png,盛开.png,https://patchwiki.biligame.com/images/rocom/1/12/b8bsilucec9a98rsmqkmxt06c4mnnix.png,,0,https://wiki.biligame.com/rocom/%E7%9B%9B%E5%BC%80
根吸收,草,状态,,,,,https://patchwiki.biligame.com/images/rocom/f/f6/i2upwtqg6sarzxitjmop6yuyz0wihvq.png,根吸收.png,https://patchwiki.biligame.com/images/rocom/1/12/b8bsilucec9a98rsmqkmxt06c4mnnix.png,,0,https://wiki.biligame.com/rocom/%E6%A0%B9%E5%90%B8%E6%94%B6
氧输送,草,状态,,,,,https://patchwiki.biligame.com/images/rocom/d/da/aji0ys3sj7zeux0s2kcuvlnk5pmzpbg.png,氧输送.png,https://patchwiki.biligame.com/images/rocom/1/12/b8bsilucec9a98rsmqkmxt06c4mnnix.png,,0,https://wiki.biligame.com/rocom/%E6%B0%A7%E8%BE%93%E9%80%81
孢子,草,状态,,,,,https://patchwiki.biligame.com/images/rocom/d/d2/1gqansjgpb1l1ytn00ue29vev6606jn.png,孢子.png,https://patchwiki.biligame.com/images/rocom/1/12/b8bsilucec9a98rsmqkmxt06c4mnnix.png,,0,https://wiki.biligame.com/rocom/%E5%AD%A2%E5%AD%90
芳香诱引,草,状态,,,,,https://patchwiki.biligame.com/images/rocom/3/3c/p9af7nrtobhgdqaecezx2y23xbwkayt.png,芳香诱引.png,https://patchwiki.biligame.com/images/rocom/1/12/b8bsilucec9a98rsmqkmxt06c4mnnix.png,,0,https://wiki.biligame.com/rocom/%E8%8A%B3%E9%A6%99%E8%AF%B1%E5%BC%95
丰饶,草,状态,,,,,https://patchwiki.biligame.com/images/rocom/c/c3/p2xzep31dovre9rih2fi2g4q8xd3wnx.png,丰饶.png,https://patchwiki.biligame.com/images/rocom/1/12/b8bsilucec9a98rsmqkmxt06c4mnnix.png,,0,https://wiki.biligame.com/rocom/%E4%B8%B0%E9%A5%B6
移花接木,草,状态,,,,,https://patchwiki.biligame.com/images/rocom/a/a8/sh94sx6ve623kdgtlv801ogypguh2ar.png,移花接木.png,https://patchwiki.biligame.com/images/rocom/1/12/b8bsilucec9a98rsmqkmxt06c4mnnix.png,,0,https://wiki.biligame.com/rocom/%E7%A7%BB%E8%8A%B1%E6%8E%A5%E6%9C%A8
光合作用,草,状态,,,,,https://patchwiki.biligame.com/images/rocom/5/5b/ttwiv8486eok096c9hinyola718ap28.png,光合作用.png,https://patchwiki.biligame.com/images/rocom/1/12/b8bsilucec9a98rsmqkmxt06c4mnnix.png,,0,https://wiki.biligame.com/rocom/%E5%85%89%E5%90%88%E4%BD%9C%E7%94%A8
酶浓度调整,草,防御,,,,,https://patchwiki.biligame.com/images/rocom/7/71/ooplinuutylkjfzw17d02p3gal3ydf5.png,酶浓度调整.png,https://patchwiki.biligame.com/images/rocom/1/12/b8bsilucec9a98rsmqkmxt06c4mnnix.png,,0,https://wiki.biligame.com/rocom/%E9%85%B6%E6%B5%93%E5%BA%A6%E8%B0%83%E6%95%B4
蜡质膜,草,防御,,,,,https://patchwiki.biligame.com/images/rocom/b/b6/hzfjcm4r5ip3s00mp5b4at6el7332b6.png,蜡质膜.png,https://patchwiki.biligame.com/images/rocom/1/12/b8bsilucec9a98rsmqkmxt06c4mnnix.png,,0,https://wiki.biligame.com/rocom/%E8%9C%A1%E8%B4%A8%E8%86%9C
汲取,草,魔攻,,,,,https://patchwiki.biligame.com/images/rocom/e/e4/ixieggz0o76p5usoa7i0iq4o0x1vfdq.png,汲取.png,https://patchwiki.biligame.com/images/rocom/1/12/b8bsilucec9a98rsmqkmxt06c4mnnix.png,,0,https://wiki.biligame.com/rocom/%E6%B1%B2%E5%8F%96
飞叶,草,物攻,,,,,https://patchwiki.biligame.com/images/rocom/1/19/artt3a4so8otjpqgk6guqtwwo0e7zzy.png,飞叶.png,https://patchwiki.biligame.com/images/rocom/1/12/b8bsilucec9a98rsmqkmxt06c4mnnix.png,,0,https://wiki.biligame.com/rocom/%E9%A3%9E%E5%8F%B6
种皮爆裂,草,物攻,,,,,https://patchwiki.biligame.com/images/rocom/a/a4/f9lxvvvdl6vbtqnsfjq944lk89rybmu.png,种皮爆裂.png,https://patchwiki.biligame.com/images/rocom/1/12/b8bsilucec9a98rsmqkmxt06c4mnnix.png,,0,https://wiki.biligame.com/rocom/%E7%A7%8D%E7%9A%AE%E7%88%86%E8%A3%82
花香,草,魔攻,,,,,https://patchwiki.biligame.com/images/rocom/9/9e/2dh334svolw734deug73jy4nzmc93vv.png,花香.png,https://patchwiki.biligame.com/images/rocom/1/12/b8bsilucec9a98rsmqkmxt06c4mnnix.png,,0,https://wiki.biligame.com/rocom/%E8%8A%B1%E9%A6%99
棘突,草,魔攻,,,,,https://patchwiki.biligame.com/images/rocom/e/ee/hwwbr2zgt2k56medvh2cimahmzxc6zi.png,棘突.png,https://patchwiki.biligame.com/images/rocom/1/12/b8bsilucec9a98rsmqkmxt06c4mnnix.png,,0,https://wiki.biligame.com/rocom/%E6%A3%98%E7%AA%81
孢子爆散,草,物攻,,,,,https://patchwiki.biligame.com/images/rocom/c/c7/lmnypyucvzpi0dugm4yl614ijpqd715.png,孢子爆散.png,https://patchwiki.biligame.com/images/rocom/1/12/b8bsilucec9a98rsmqkmxt06c4mnnix.png,,0,https://wiki.biligame.com/rocom/%E5%AD%A2%E5%AD%90%E7%88%86%E6%95%A3
叶绿光束,草,魔攻,,,,,https://patchwiki.biligame.com/images/rocom/6/6e/0fkridaaj9lcb2ncchw04lqe92o4q72.png,叶绿光束.png,https://patchwiki.biligame.com/images/rocom/1/12/b8bsilucec9a98rsmqkmxt06c4mnnix.png,,0,https://wiki.biligame.com/rocom/%E5%8F%B6%E7%BB%BF%E5%85%89%E6%9D%9F
顶端优势,草,物攻,,,,,https://patchwiki.biligame.com/images/rocom/3/3b/ttgsc4x3i2trb6hll3dn8d3emn5bhet.png,顶端优势.png,https://patchwiki.biligame.com/images/rocom/1/12/b8bsilucec9a98rsmqkmxt06c4mnnix.png,,0,https://wiki.biligame.com/rocom/%E9%A1%B6%E7%AB%AF%E4%BC%98%E5%8A%BF
筛管奔流,草,物攻,,,,,https://patchwiki.biligame.com/images/rocom/5/5e/3vqmz5rrwvsdodockb7cvklr631d6mw.png,筛管奔流.png,https://patchwiki.biligame.com/images/rocom/1/12/b8bsilucec9a98rsmqkmxt06c4mnnix.png,,0,https://wiki.biligame.com/rocom/%E7%AD%9B%E7%AE%A1%E5%A5%94%E6%B5%81
花炮,草,状态,,,,,https://patchwiki.biligame.com/images/rocom/6/6c/3vo85scex7ciw23ri93ma67r0rizsci.png,花炮.png,https://patchwiki.biligame.com/images/rocom/1/12/b8bsilucec9a98rsmqkmxt06c4mnnix.png,,0,https://wiki.biligame.com/rocom/%E8%8A%B1%E7%82%AE
聚盐,草,状态,,,,,https://patchwiki.biligame.com/images/rocom/b/b6/iwac3lxrk1xz1b5333r9ewcull1gmaw.png,聚盐.png,https://patchwiki.biligame.com/images/rocom/1/12/b8bsilucec9a98rsmqkmxt06c4mnnix.png,,0,https://wiki.biligame.com/rocom/%E8%81%9A%E7%9B%90
富养化,草,状态,,,,,https://patchwiki.biligame.com/images/rocom/3/3a/mkistt9nxn34ilpc2efpivm5855cp3j.png,富养化.png,https://patchwiki.biligame.com/images/rocom/1/12/b8bsilucec9a98rsmqkmxt06c4mnnix.png,,0,https://wiki.biligame.com/rocom/%E5%AF%8C%E5%85%BB%E5%8C%96
纤维化,草,防御,,,,,https://patchwiki.biligame.com/images/rocom/1/19/6iod9dgkg50xr7f2c3sxc9dflf7fdbe.png,纤维化.png,https://patchwiki.biligame.com/images/rocom/1/12/b8bsilucec9a98rsmqkmxt06c4mnnix.png,,0,https://wiki.biligame.com/rocom/%E7%BA%A4%E7%BB%B4%E5%8C%96
抽枝,草,物攻,,,,,https://patchwiki.biligame.com/images/rocom/d/de/a0k2ymjo84mlw7w9rldubthf44hlwym.png,抽枝.png,https://patchwiki.biligame.com/images/rocom/1/12/b8bsilucec9a98rsmqkmxt06c4mnnix.png,,0,https://wiki.biligame.com/rocom/%E6%8A%BD%E6%9E%9D
针刺射击,草,物攻,,,,,https://patchwiki.biligame.com/images/rocom/5/5c/170n98bp3ynwb456bsxzg2qvfcy67rd.png,针刺射击.png,https://patchwiki.biligame.com/images/rocom/1/12/b8bsilucec9a98rsmqkmxt06c4mnnix.png,,0,https://wiki.biligame.com/rocom/%E9%92%88%E5%88%BA%E5%B0%84%E5%87%BB
火焰冲锋,火,物攻,,,,,https://patchwiki.biligame.com/images/rocom/d/d8/f87xhh5fw4we7q3iwvoxoz89yzb954t.png,火焰冲锋.png,https://patchwiki.biligame.com/images/rocom/a/ab/8wvxz3p479e2b702afdqyzhx9340qgx.png,,0,https://wiki.biligame.com/rocom/%E7%81%AB%E7%84%B0%E5%86%B2%E9%94%8B
炎枪,火,魔攻,,,,,https://patchwiki.biligame.com/images/rocom/0/01/6jt794onuj9apx8hweu2210uwrpo3rn.png,炎枪.png,https://patchwiki.biligame.com/images/rocom/a/ab/8wvxz3p479e2b702afdqyzhx9340qgx.png,,0,https://wiki.biligame.com/rocom/%E7%82%8E%E6%9E%AA
火苗,火,物攻,,,,,https://patchwiki.biligame.com/images/rocom/e/e7/rey61hqkq5vbxqrrunm9uu87ckbpkvh.png,火苗.png,https://patchwiki.biligame.com/images/rocom/a/ab/8wvxz3p479e2b702afdqyzhx9340qgx.png,,0,https://wiki.biligame.com/rocom/%E7%81%AB%E8%8B%97
闪燃,火,物攻,,,,,https://patchwiki.biligame.com/images/rocom/4/4a/bm938msx2tq93djzjcbbgkinmloc187.png,闪燃.png,https://patchwiki.biligame.com/images/rocom/a/ab/8wvxz3p479e2b702afdqyzhx9340qgx.png,,0,https://wiki.biligame.com/rocom/%E9%97%AA%E7%87%83
双响炮,火,物攻,,,,,https://patchwiki.biligame.com/images/rocom/3/34/n0ab53qf9e234366jlp0b7314oafppt.png,双响炮.png,https://patchwiki.biligame.com/images/rocom/a/ab/8wvxz3p479e2b702afdqyzhx9340qgx.png,,0,https://wiki.biligame.com/rocom/%E5%8F%8C%E5%93%8D%E7%82%AE
吹火,火,物攻,,,,,https://patchwiki.biligame.com/images/rocom/c/cd/hkyjcx46k2mtsxgrwbzas9vweb1pdsw.png,吹火.png,https://patchwiki.biligame.com/images/rocom/a/ab/8wvxz3p479e2b702afdqyzhx9340qgx.png,,0,https://wiki.biligame.com/rocom/%E5%90%B9%E7%81%AB
流星火雨,火,物攻,,,,,https://patchwiki.biligame.com/images/rocom/7/7a/e4zwpthp8q1cvkdve3u2urx8kwn0wu4.png,流星火雨.png,https://patchwiki.biligame.com/images/rocom/a/ab/8wvxz3p479e2b702afdqyzhx9340qgx.png,,0,https://wiki.biligame.com/rocom/%E6%B5%81%E6%98%9F%E7%81%AB%E9%9B%A8
持续高温,火,魔攻,,,,,https://patchwiki.biligame.com/images/rocom/0/03/0ao21sm7cc5097moqmrqqoakdlduioe.png,持续高温.png,https://patchwiki.biligame.com/images/rocom/a/ab/8wvxz3p479e2b702afdqyzhx9340qgx.png,,0,https://wiki.biligame.com/rocom/%E6%8C%81%E7%BB%AD%E9%AB%98%E6%B8%A9
易燃物质,火,魔攻,,,,,https://patchwiki.biligame.com/images/rocom/f/ff/39cii5y8mfnuxhiqc4xdjmpntd9t0ml.png,易燃物质.png,https://patchwiki.biligame.com/images/rocom/a/ab/8wvxz3p479e2b702afdqyzhx9340qgx.png,,0,https://wiki.biligame.com/rocom/%E6%98%93%E7%87%83%E7%89%A9%E8%B4%A8
高温回火,火,魔攻,,,,,https://patchwiki.biligame.com/images/rocom/f/fc/qj5snhujfmtz2pj30g1mgkrc8zxjby2.png,高温回火.png,https://patchwiki.biligame.com/images/rocom/a/ab/8wvxz3p479e2b702afdqyzhx9340qgx.png,,0,https://wiki.biligame.com/rocom/%E9%AB%98%E6%B8%A9%E5%9B%9E%E7%81%AB
山火,火,物攻,,,,,https://patchwiki.biligame.com/images/rocom/c/c7/bc7tmlxd8ig3zvq5beq7jtgiztjlghb.png,山火.png,https://patchwiki.biligame.com/images/rocom/a/ab/8wvxz3p479e2b702afdqyzhx9340qgx.png,,0,https://wiki.biligame.com/rocom/%E5%B1%B1%E7%81%AB
引燃,火,状态,,,,,https://patchwiki.biligame.com/images/rocom/d/d9/ptoxi3sd725e4asif3ee5ak5h76r3ng.png,引燃.png,https://patchwiki.biligame.com/images/rocom/a/ab/8wvxz3p479e2b702afdqyzhx9340qgx.png,,0,https://wiki.biligame.com/rocom/%E5%BC%95%E7%87%83
热身,火,状态,,,,,https://patchwiki.biligame.com/images/rocom/5/5a/9x9hsqlgc6iw60fg6gncuqpn8bge2q5.png,热身.png,https://patchwiki.biligame.com/images/rocom/a/ab/8wvxz3p479e2b702afdqyzhx9340qgx.png,,0,https://wiki.biligame.com/rocom/%E7%83%AD%E8%BA%AB
充分燃烧,火,状态,,,,,https://patchwiki.biligame.com/images/rocom/4/48/rvc744jwmjht5fwte8fzurgikq9wmn2.png,充分燃烧.png,https://patchwiki.biligame.com/images/rocom/a/ab/8wvxz3p479e2b702afdqyzhx9340qgx.png,,0,https://wiki.biligame.com/rocom/%E5%85%85%E5%88%86%E7%87%83%E7%83%A7
天火,火,状态,,,,,https://patchwiki.biligame.com/images/rocom/f/fd/s9801cyjo4pabk8mlu1tp3nlv3k9t4p.png,天火.png,https://patchwiki.biligame.com/images/rocom/a/ab/8wvxz3p479e2b702afdqyzhx9340qgx.png,,0,https://wiki.biligame.com/rocom/%E5%A4%A9%E7%81%AB
火焰护盾,火,防御,,,,,https://patchwiki.biligame.com/images/rocom/7/7b/1kjcyximafzqdu8d6xly4qoojewmogf.png,火焰护盾.png,https://patchwiki.biligame.com/images/rocom/a/ab/8wvxz3p479e2b702afdqyzhx9340qgx.png,,0,https://wiki.biligame.com/rocom/%E7%81%AB%E7%84%B0%E6%8A%A4%E7%9B%BE
火云车,火,物攻,,,,,https://patchwiki.biligame.com/images/rocom/a/a6/ju732f0l7jrh9lwwij1r6ncysxd24zt.png,火云车.png,https://patchwiki.biligame.com/images/rocom/a/ab/8wvxz3p479e2b702afdqyzhx9340qgx.png,,0,https://wiki.biligame.com/rocom/%E7%81%AB%E4%BA%91%E8%BD%A6
爆裂飞弹,火,魔攻,,,,,https://patchwiki.biligame.com/images/rocom/4/43/3g542noxjiia10gzk41lkxjh7ysrpnd.png,爆裂飞弹.png,https://patchwiki.biligame.com/images/rocom/a/ab/8wvxz3p479e2b702afdqyzhx9340qgx.png,,0,https://wiki.biligame.com/rocom/%E7%88%86%E8%A3%82%E9%A3%9E%E5%BC%B9
热气,火,魔攻,,,,,https://patchwiki.biligame.com/images/rocom/8/8d/d7buz984ycgvsb4cgs0xutt55sx431g.png,热气.png,https://patchwiki.biligame.com/images/rocom/a/ab/8wvxz3p479e2b702afdqyzhx9340qgx.png,,0,https://wiki.biligame.com/rocom/%E7%83%AD%E6%B0%94
流火,火,魔攻,,,,,https://patchwiki.biligame.com/images/rocom/6/62/g4gi6r19uq4j62ej1jvnve25r74xl1v.png,流火.png,https://patchwiki.biligame.com/images/rocom/a/ab/8wvxz3p479e2b702afdqyzhx9340qgx.png,,0,https://wiki.biligame.com/rocom/%E6%B5%81%E7%81%AB
火爪,火,魔攻,,,,,https://patchwiki.biligame.com/images/rocom/6/65/teimwjfxkcfyfjyzz6w076nru8py8g0.png,火爪.png,https://patchwiki.biligame.com/images/rocom/a/ab/8wvxz3p479e2b702afdqyzhx9340qgx.png,,0,https://wiki.biligame.com/rocom/%E7%81%AB%E7%88%AA
火焰箭,火,物攻,,,,,https://patchwiki.biligame.com/images/rocom/e/e3/8f9oosw2gealxroc1mh1gp2n6tn9g63.png,火焰箭.png,https://patchwiki.biligame.com/images/rocom/a/ab/8wvxz3p479e2b702afdqyzhx9340qgx.png,,0,https://wiki.biligame.com/rocom/%E7%81%AB%E7%84%B0%E7%AE%AD
炙热波动,火,魔攻,,,,,https://patchwiki.biligame.com/images/rocom/3/30/8x26v7so3l5ejy2130cuewjkhr4tj26.png,炙热波动.png,https://patchwiki.biligame.com/images/rocom/a/ab/8wvxz3p479e2b702afdqyzhx9340qgx.png,,0,https://wiki.biligame.com/rocom/%E7%82%99%E7%83%AD%E6%B3%A2%E5%8A%A8
火焰切割,火,物攻,,,,,https://patchwiki.biligame.com/images/rocom/e/ee/2g146u9zqiogesc8j2s26xp7y2cp8mr.png,火焰切割.png,https://patchwiki.biligame.com/images/rocom/a/ab/8wvxz3p479e2b702afdqyzhx9340qgx.png,,0,https://wiki.biligame.com/rocom/%E7%81%AB%E7%84%B0%E5%88%87%E5%89%B2
烈焰风暴,火,魔攻,,,,,https://patchwiki.biligame.com/images/rocom/2/2a/38a12at3ytabiddjs8did4vwq2c7tqm.png,烈焰风暴.png,https://patchwiki.biligame.com/images/rocom/a/ab/8wvxz3p479e2b702afdqyzhx9340qgx.png,,0,https://wiki.biligame.com/rocom/%E7%83%88%E7%84%B0%E9%A3%8E%E6%9A%B4
炎息,火,物攻,,,,,https://patchwiki.biligame.com/images/rocom/a/a9/6jt794onuj9apx8hweu2210uwrpo3rn.png,炎息.png,https://patchwiki.biligame.com/images/rocom/a/ab/8wvxz3p479e2b702afdqyzhx9340qgx.png,,0,https://wiki.biligame.com/rocom/%E7%82%8E%E6%81%AF
灼伤,火,物攻,,,,,https://patchwiki.biligame.com/images/rocom/1/11/6jt794onuj9apx8hweu2210uwrpo3rn.png,灼伤.png,https://patchwiki.biligame.com/images/rocom/a/ab/8wvxz3p479e2b702afdqyzhx9340qgx.png,,0,https://wiki.biligame.com/rocom/%E7%81%BC%E4%BC%A4
炎打,火,魔攻,,,,,https://patchwiki.biligame.com/images/rocom/5/59/str1iecq7f3fxti8yw4xxkarq6fb9pg.png,炎打.png,https://patchwiki.biligame.com/images/rocom/a/ab/8wvxz3p479e2b702afdqyzhx9340qgx.png,,0,https://wiki.biligame.com/rocom/%E7%82%8E%E6%89%93
怒火,火,状态,,,,,https://patchwiki.biligame.com/images/rocom/8/81/6ubm9mclcmutfs350bpy65mo2l07tmo.png,怒火.png,https://patchwiki.biligame.com/images/rocom/a/ab/8wvxz3p479e2b702afdqyzhx9340qgx.png,,0,https://wiki.biligame.com/rocom/%E6%80%92%E7%81%AB
淬火,火,防御,,,,,https://patchwiki.biligame.com/images/rocom/3/32/1bhwbztco1uskbuyropdc0vmkv9aamk.png,淬火.png,https://patchwiki.biligame.com/images/rocom/a/ab/8wvxz3p479e2b702afdqyzhx9340qgx.png,,0,https://wiki.biligame.com/rocom/%E6%B7%AC%E7%81%AB
燃尽,火,魔攻,,,,,https://patchwiki.biligame.com/images/rocom/4/48/hn03u1jxt8jzddhe0z0j6flhg4n32fh.png,燃尽.png,https://patchwiki.biligame.com/images/rocom/a/ab/8wvxz3p479e2b702afdqyzhx9340qgx.png,,0,https://wiki.biligame.com/rocom/%E7%87%83%E5%B0%BD
焚毁,火,魔攻,,,,,https://patchwiki.biligame.com/images/rocom/4/41/6jt794onuj9apx8hweu2210uwrpo3rn.png,焚毁.png,https://patchwiki.biligame.com/images/rocom/a/ab/8wvxz3p479e2b702afdqyzhx9340qgx.png,,0,https://wiki.biligame.com/rocom/%E7%84%9A%E6%AF%81
焚烧烙印,火,状态,,,,,https://patchwiki.biligame.com/images/rocom/b/bc/bl6ghwfolqyihbsh9hbfsv8tqdvn7n8.png,焚烧烙印.png,https://patchwiki.biligame.com/images/rocom/a/ab/8wvxz3p479e2b702afdqyzhx9340qgx.png,,0,https://wiki.biligame.com/rocom/%E7%84%9A%E7%83%A7%E7%83%99%E5%8D%B0
除厄,火,魔攻,,,,,https://patchwiki.biligame.com/images/rocom/f/f6/q41d5o4tdhvc497s6buhvglw0fpvkdl.png,除厄.png,https://patchwiki.biligame.com/images/rocom/a/ab/8wvxz3p479e2b702afdqyzhx9340qgx.png,,0,https://wiki.biligame.com/rocom/%E9%99%A4%E5%8E%84
阳火增辉,火,魔攻,,,,,https://patchwiki.biligame.com/images/rocom/7/7e/decegajxheasarvbemlmuf6lnnbg3g0.png,阳火增辉.png,https://patchwiki.biligame.com/images/rocom/a/ab/8wvxz3p479e2b702afdqyzhx9340qgx.png,,0,https://wiki.biligame.com/rocom/%E9%98%B3%E7%81%AB%E5%A2%9E%E8%BE%89
甩水,水,魔攻,,,,,https://patchwiki.biligame.com/images/rocom/1/1b/bcpw1ec5qsevcgb1ob8ot842hgghy3e.png,甩水.png,https://patchwiki.biligame.com/images/rocom/d/d1/csqsyhq1k488329455xdlzdcybv6zjh.png,,0,https://wiki.biligame.com/rocom/%E7%94%A9%E6%B0%B4
水弹枪,水,魔攻,,,,,https://patchwiki.biligame.com/images/rocom/8/8c/k5sx0uik6bto4jk16zcenez14b2dslu.png,水弹枪.png,https://patchwiki.biligame.com/images/rocom/d/d1/csqsyhq1k488329455xdlzdcybv6zjh.png,,0,https://wiki.biligame.com/rocom/%E6%B0%B4%E5%BC%B9%E6%9E%AA
气泡,水,魔攻,,,,,https://patchwiki.biligame.com/images/rocom/0/04/jqw511721rt5xpln15co9uvj8jym77l.png,气泡.png,https://patchwiki.biligame.com/images/rocom/d/d1/csqsyhq1k488329455xdlzdcybv6zjh.png,,0,https://wiki.biligame.com/rocom/%E6%B0%94%E6%B3%A1
水炮,水,魔攻,,,,,https://patchwiki.biligame.com/images/rocom/0/00/n0g484008mywyuvfjzlepm1r54wjxhn.png,水炮.png,https://patchwiki.biligame.com/images/rocom/d/d1/csqsyhq1k488329455xdlzdcybv6zjh.png,,0,https://wiki.biligame.com/rocom/%E6%B0%B4%E7%82%AE
水刃,水,物攻,,,,,https://patchwiki.biligame.com/images/rocom/7/71/fyaynqsb7130zlrvt0oczqgxn1p90m2.png,水刃.png,https://patchwiki.biligame.com/images/rocom/d/d1/csqsyhq1k488329455xdlzdcybv6zjh.png,,0,https://wiki.biligame.com/rocom/%E6%B0%B4%E5%88%83
天洪,水,魔攻,,,,,https://patchwiki.biligame.com/images/rocom/0/01/8gc9duetu9s6ns293motwfyciob89kb.png,天洪.png,https://patchwiki.biligame.com/images/rocom/d/d1/csqsyhq1k488329455xdlzdcybv6zjh.png,,0,https://wiki.biligame.com/rocom/%E5%A4%A9%E6%B4%AA
润泽,水,状态,,,,,https://patchwiki.biligame.com/images/rocom/c/cc/q0hvhfunr3knp5nt4xr5shgqifi94ps.png,润泽.png,https://patchwiki.biligame.com/images/rocom/d/d1/csqsyhq1k488329455xdlzdcybv6zjh.png,,0,https://wiki.biligame.com/rocom/%E6%B6%A6%E6%B3%BD
蓄水,水,状态,,,,,https://patchwiki.biligame.com/images/rocom/e/eb/osktsv4rm7s8y5afxh0nh7uzzuqcqsr.png,蓄水.png,https://patchwiki.biligame.com/images/rocom/d/d1/csqsyhq1k488329455xdlzdcybv6zjh.png,,0,https://wiki.biligame.com/rocom/%E8%93%84%E6%B0%B4
打湿,水,状态,,,,,https://patchwiki.biligame.com/images/rocom/3/36/33qryzuif3xjgl549gok9ojyl7giy3t.png,打湿.png,https://patchwiki.biligame.com/images/rocom/d/d1/csqsyhq1k488329455xdlzdcybv6zjh.png,,0,https://wiki.biligame.com/rocom/%E6%89%93%E6%B9%BF
落雨,水,状态,,,,,https://patchwiki.biligame.com/images/rocom/3/36/cqjtpcdcm1ozdhnyh3kgo4mtx0gxadb.png,落雨.png,https://patchwiki.biligame.com/images/rocom/d/d1/csqsyhq1k488329455xdlzdcybv6zjh.png,,0,https://wiki.biligame.com/rocom/%E8%90%BD%E9%9B%A8
泡沫幻影,水,防御,,,,,https://patchwiki.biligame.com/images/rocom/9/97/pseovvl9sj5fusmbole306xda69bdcr.png,泡沫幻影.png,https://patchwiki.biligame.com/images/rocom/d/d1/csqsyhq1k488329455xdlzdcybv6zjh.png,,0,https://wiki.biligame.com/rocom/%E6%B3%A1%E6%B2%AB%E5%B9%BB%E5%BD%B1
水泡盾,水,防御,,,,,https://patchwiki.biligame.com/images/rocom/1/12/3pbf86nnvzykqxqarqjgn4d802vgap0.png,水泡盾.png,https://patchwiki.biligame.com/images/rocom/d/d1/csqsyhq1k488329455xdlzdcybv6zjh.png,,0,https://wiki.biligame.com/rocom/%E6%B0%B4%E6%B3%A1%E7%9B%BE
水环,水,防御,,,,,https://patchwiki.biligame.com/images/rocom/7/70/8z2rtkshqohzl50mmz10ge4vvfa99l7.png,水环.png,https://patchwiki.biligame.com/images/rocom/d/d1/csqsyhq1k488329455xdlzdcybv6zjh.png,,0,https://wiki.biligame.com/rocom/%E6%B0%B4%E7%8E%AF
水光冲击,水,魔攻,,,,,https://patchwiki.biligame.com/images/rocom/2/23/lqzey53tg58p70sb7xp2dc7blsimsxx.png,水光冲击.png,https://patchwiki.biligame.com/images/rocom/d/d1/csqsyhq1k488329455xdlzdcybv6zjh.png,,0,https://wiki.biligame.com/rocom/%E6%B0%B4%E5%85%89%E5%86%B2%E5%87%BB
水波术,水,魔攻,,,,,https://patchwiki.biligame.com/images/rocom/7/7a/dfp3k12qyb4d7k18wehwok5q73b1ru1.png,水波术.png,https://patchwiki.biligame.com/images/rocom/d/d1/csqsyhq1k488329455xdlzdcybv6zjh.png,,0,https://wiki.biligame.com/rocom/%E6%B0%B4%E6%B3%A2%E6%9C%AF
