编号,名字,阶段,属性,形态分类,形态,是否有异色,图片文件名,本地URL,来源图片URL,详情页URL
NO.055,暗影灵面（睁眼的样子）,Ⅱ阶,幽,原始形态,原始形态,否,NO055_暗影灵面（睁眼的样子）.png,/icons/NO055_%E6%9A%97%E5%BD%B1%E7%81%B5%E9%9D%A2%EF%BC%88%E7%9D%81%E7%9C%BC%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89.png,https://patchwiki.biligame.com/images/rocom/e/ee/8iz9eknhqvv3ntbw6r2ksojvp3dfekx.png,https://wiki.biligame.com/rocom/%E6%9A%97%E5%BD%B1%E7%81%B5%E9%9D%A2%EF%BC%88%E7%9D%81%E7%9C%BC%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89
NO.056,幽冥眼（睁眼的样子）,最终形态,幽,原始形态,原始形态,否,NO056_幽冥眼（睁眼的样子）.png,/icons/NO056_%E5%B9%BD%E5%86%A5%E7%9C%BC%EF%BC%88%E7%9D%81%E7%9C%BC%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89.png,https://patchwiki.biligame.com/images/rocom/2/23/1y27uyj9zvo1gctws3g4ru9kgsg3thg.png,https://wiki.biligame.com/rocom/%E5%B9%BD%E5%86%A5%E7%9C%BC%EF%BC%88%E7%9D%81%E7%9C%BC%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89
NO.057,梦游（穿旧睡衣的样子）,Ⅰ阶,幽,原始形态,原始形态,否,NO057_梦游（穿旧睡衣的样子）.png,/icons/NO057_%E6%A2%A6%E6%B8%B8%EF%BC%88%E7%A9%BF%E6%97%A7%E7%9D%A1%E8%A1%A3%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89.png,https://patchwiki.biligame.com/images/rocom/2/21/oaaweyscathn6oqa015bfb6o9w5cbsa.png,https://wiki.biligame.com/rocom/%E6%A2%A6%E6%B8%B8%EF%BC%88%E7%A9%BF%E6%97%A7%E7%9D%A1%E8%A1%A3%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89
NO.058,梦悠悠（穿旧睡衣的样子）,最终形态,幽,原始形态,原始形态,否,NO058_梦悠悠（穿旧睡衣的样子）.png,/icons/NO058_%E6%A2%A6%E6%82%A0%E6%82%A0%EF%BC%88%E7%A9%BF%E6%97%A7%E7%9D%A1%E8%A1%A3%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89.png,https://patchwiki.biligame.com/images/rocom/2/2b/glndghgzgkl35dw5l2jzm8m4cc3dv22.png,https://wiki.biligame.com/rocom/%E6%A2%A6%E6%82%A0%E6%82%A0%EF%BC%88%E7%A9%BF%E6%97%A7%E7%9D%A1%E8%A1%A3%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89
NO.059,兽花蕾,最终形态,"光, 草",原始形态,原始形态,否,NO059_兽花蕾.png,/icons/NO059_%E5%85%BD%E8%8A%B1%E8%95%BE.png,https://patchwiki.biligame.com/images/rocom/f/fb/40ew1mdy3j3km17nwkdvlit9es9y39b.png,https://wiki.biligame.com/rocom/%E5%85%BD%E8%8A%B1%E8%95%BE
NO.060,伏地兽,Ⅰ阶,普通,原始形态,原始形态,否,NO060_伏地兽.png,/icons/NO060_%E4%BC%8F%E5%9C%B0%E5%85%BD.png,https://patchwiki.biligame.com/images/rocom/5/5c/tspudx138x6hgz6dth0361r383pr0ha.png,https://wiki.biligame.com/rocom/%E4%BC%8F%E5%9C%B0%E5%85%BD
NO.061,贪食鼹,Ⅱ阶,普通,原始形态,原始形态,否,NO061_贪食鼹.png,/icons/NO061_%E8%B4%AA%E9%A3%9F%E9%BC%B9.png,https://patchwiki.biligame.com/images/rocom/d/d1/ps5nra6q9tzlnl4s6tkz4g5eejsr497.png,https://wiki.biligame.com/rocom/%E8%B4%AA%E9%A3%9F%E9%BC%B9
NO.062,巨噬针鼹,最终形态,普通,原始形态,原始形态,否,NO062_巨噬针鼹.png,/icons/NO062_%E5%B7%A8%E5%99%AC%E9%92%88%E9%BC%B9.png,https://patchwiki.biligame.com/images/rocom/b/bf/kh1j7ti0ytu5d4nvr4te6kqakcclvx6.png,https://wiki.biligame.com/rocom/%E5%B7%A8%E5%99%AC%E9%92%88%E9%BC%B9
NO.063,蹦蹦种子（海神球形态）,Ⅰ阶,"草, 毒",原始形态,原始形态,否,NO063_蹦蹦种子（海神球形态）.png,/icons/NO063_%E8%B9%A6%E8%B9%A6%E7%A7%8D%E5%AD%90%EF%BC%88%E6%B5%B7%E7%A5%9E%E7%90%83%E5%BD%A2%E6%80%81%EF%BC%89.png,https://patchwiki.biligame.com/images/rocom/3/33/5rqqxhxtsklncbih4ii40p13jkrbqby.png,https://wiki.biligame.com/rocom/%E8%B9%A6%E8%B9%A6%E7%A7%8D%E5%AD%90%EF%BC%88%E6%B5%B7%E7%A5%9E%E7%90%83%E5%BD%A2%E6%80%81%EF%BC%89
NO.064,蹦蹦草（海神球形态）,Ⅱ阶,"草, 毒",原始形态,原始形态,否,NO064_蹦蹦草（海神球形态）.png,/icons/NO064_%E8%B9%A6%E8%B9%A6%E8%8D%89%EF%BC%88%E6%B5%B7%E7%A5%9E%E7%90%83%E5%BD%A2%E6%80%81%EF%BC%89.png,https://patchwiki.biligame.com/images/rocom/6/62/sdazex9mreedpinwxklyhfu4k9xi8h9.png,https://wiki.biligame.com/rocom/%E8%B9%A6%E8%B9%A6%E8%8D%89%EF%BC%88%E6%B5%B7%E7%A5%9E%E7%90%83%E5%BD%A2%E6%80%81%EF%BC%89
NO.065,蹦蹦花（海神球形态）,最终形态,"草, 毒",原始形态,原始形态,否,NO065_蹦蹦花（海神球形态）.png,/icons/NO065_%E8%B9%A6%E8%B9%A6%E8%8A%B1%EF%BC%88%E6%B5%B7%E7%A5%9E%E7%90%83%E5%BD%A2%E6%80%81%EF%BC%89.png,https://patchwiki.biligame.com/images/rocom/b/b4/jpdd60oi1k87a3tjhtdhl6n7uf6zn7x.png,https://wiki.biligame.com/rocom/%E8%B9%A6%E8%B9%A6%E8%8A%B1%EF%BC%88%E6%B5%B7%E7%A5%9E%E7%90%83%E5%BD%A2%E6%80%81%EF%BC%89
NO.066,电咩咩,Ⅰ阶,电,原始形态,原始形态,否,NO066_电咩咩.png,/icons/NO066_%E7%94%B5%E5%92%A9%E5%92%A9.png,https://patchwiki.biligame.com/images/rocom/5/57/rrzi4lxo68m4mmhokly3l8z4t2ti2r7.png,https://wiki.biligame.com/rocom/%E7%94%B5%E5%92%A9%E5%92%A9
NO.067,粉咩咩,Ⅱ阶,电,原始形态,原始形态,否,NO067_粉咩咩.png,/icons/NO067_%E7%B2%89%E5%92%A9%E5%92%A9.png,https://patchwiki.biligame.com/images/rocom/d/d4/90spmq5ikabu64yf2g3l5lk8z3vvdpn.png,https://wiki.biligame.com/rocom/%E7%B2%89%E5%92%A9%E5%92%A9
NO.068,电球咩咩,最终形态,电,原始形态,原始形态,否,NO068_电球咩咩.png,/icons/NO068_%E7%94%B5%E7%90%83%E5%92%A9%E5%92%A9.png,https://patchwiki.biligame.com/images/rocom/0/01/4sz6qymt56rlm9ybuobr7s76qonzxvu.png,https://wiki.biligame.com/rocom/%E7%94%B5%E7%90%83%E5%92%A9%E5%92%A9
NO.069,蒲公英,Ⅰ阶,"草, 萌",原始形态,原始形态,否,NO069_蒲公英.png,/icons/NO069_%E8%92%B2%E5%85%AC%E8%8B%B1.png,https://patchwiki.biligame.com/images/rocom/1/1d/87el3plwkuzm4wsb0l6s3ffqowsbiwl.png,https://wiki.biligame.com/rocom/%E8%92%B2%E5%85%AC%E8%8B%B1
NO.070,蒲公英娃娃,最终形态,"草, 萌",原始形态,原始形态,否,NO070_蒲公英娃娃.png,/icons/NO070_%E8%92%B2%E5%85%AC%E8%8B%B1%E5%A8%83%E5%A8%83.png,https://patchwiki.biligame.com/images/rocom/e/eb/8np4gxq8dybdydnv77kwoc300to6ont.png,https://wiki.biligame.com/rocom/%E8%92%B2%E5%85%AC%E8%8B%B1%E5%A8%83%E5%A8%83
NO.071,伊贝儿,Ⅰ阶,草,原始形态,原始形态,否,NO071_伊贝儿.png,/icons/NO071_%E4%BC%8A%E8%B4%9D%E5%84%BF.png,https://patchwiki.biligame.com/images/rocom/b/b2/3x1hdgzmc2cyjh9zkfdyw1smgck9o3r.png,https://wiki.biligame.com/rocom/%E4%BC%8A%E8%B4%9D%E5%84%BF
NO.072,伊贝粉粉,最终形态,草,原始形态,原始形态,否,NO072_伊贝粉粉.png,/icons/NO072_%E4%BC%8A%E8%B4%9D%E7%B2%89%E7%B2%89.png,https://patchwiki.biligame.com/images/rocom/9/9e/ld012t25twk5oisvs10ok7g2t7apki1.png,https://wiki.biligame.com/rocom/%E4%BC%8A%E8%B4%9D%E7%B2%89%E7%B2%89
NO.073,白发懒人,Ⅰ阶,普通,原始形态,原始形态,否,NO073_白发懒人.png,/icons/NO073_%E7%99%BD%E5%8F%91%E6%87%92%E4%BA%BA.png,https://patchwiki.biligame.com/images/rocom/4/46/06pz2jvhh5k0ukbgj30jmdfyz4nic06.png,https://wiki.biligame.com/rocom/%E7%99%BD%E5%8F%91%E6%87%92%E4%BA%BA
NO.074,动力猿,Ⅱ阶,"普通, 武",原始形态,原始形态,否,NO074_动力猿.png,/icons/NO074_%E5%8A%A8%E5%8A%9B%E7%8C%BF.png,https://patchwiki.biligame.com/images/rocom/9/98/okpl88mwskdjsdfwxwln1kbpwxxly69.png,https://wiki.biligame.com/rocom/%E5%8A%A8%E5%8A%9B%E7%8C%BF
NO.075,瞌睡王,最终形态,"普通, 武",原始形态,原始形态,否,NO075_瞌睡王.png,/icons/NO075_%E7%9E%8C%E7%9D%A1%E7%8E%8B.png,https://patchwiki.biligame.com/images/rocom/a/a2/64947rnxu8ncihl37rqldr3653bg57n.png,https://wiki.biligame.com/rocom/%E7%9E%8C%E7%9D%A1%E7%8E%8B
NO.076,海盔虫（本来的样子）,Ⅰ阶,"水, 毒",原始形态,原始形态,否,NO076_海盔虫（本来的样子）.png,/icons/NO076_%E6%B5%B7%E7%9B%94%E8%99%AB%EF%BC%88%E6%9C%AC%E6%9D%A5%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89.png,https://patchwiki.biligame.com/images/rocom/c/c5/hyqqzb0xxpt4zjthslvr4y25bvsbkvg.png,https://wiki.biligame.com/rocom/%E6%B5%B7%E7%9B%94%E8%99%AB%EF%BC%88%E6%9C%AC%E6%9D%A5%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89
NO.077,刺盔虫（本来的样子）,Ⅱ阶,"水, 毒",原始形态,原始形态,否,NO077_刺盔虫（本来的样子）.png,/icons/NO077_%E5%88%BA%E7%9B%94%E8%99%AB%EF%BC%88%E6%9C%AC%E6%9D%A5%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89.png,https://patchwiki.biligame.com/images/rocom/d/d9/4p1drrucxykr3h3aaxf4xxk9l59554s.png,https://wiki.biligame.com/rocom/%E5%88%BA%E7%9B%94%E8%99%AB%EF%BC%88%E6%9C%AC%E6%9D%A5%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89
NO.078,千棘盔（本来的样子）,最终形态,"水, 毒",原始形态,原始形态,否,NO078_千棘盔（本来的样子）.png,/icons/NO078_%E5%8D%83%E6%A3%98%E7%9B%94%EF%BC%88%E6%9C%AC%E6%9D%A5%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89.png,https://patchwiki.biligame.com/images/rocom/d/d3/m619bkrakzm4rsb834fgl8s3tuleqzw.png,https://wiki.biligame.com/rocom/%E5%8D%83%E6%A3%98%E7%9B%94%EF%BC%88%E6%9C%AC%E6%9D%A5%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89
NO.079,菊花梨,最终形态,萌,原始形态,原始形态,否,NO079_菊花梨.png,/icons/NO079_%E8%8F%8A%E8%8A%B1%E6%A2%A8.png,https://patchwiki.biligame.com/images/rocom/d/db/qitqnhdvjw8gwhnvvapfuqv6g0qgaef.png,https://wiki.biligame.com/rocom/%E8%8F%8A%E8%8A%B1%E6%A2%A8
NO.080,小星光（星光能量的样子）,Ⅰ阶,电,原始形态,原始形态,否,NO080_小星光（星光能量的样子）.png,/icons/NO080_%E5%B0%8F%E6%98%9F%E5%85%89%EF%BC%88%E6%98%9F%E5%85%89%E8%83%BD%E9%87%8F%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89.png,https://patchwiki.biligame.com/images/rocom/b/b1/o9j051uk3ed7na8hgl6lyic6xv38mjb.png,https://wiki.biligame.com/rocom/%E5%B0%8F%E6%98%9F%E5%85%89%EF%BC%88%E6%98%9F%E5%85%89%E8%83%BD%E9%87%8F%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89
NO.081,星光狮（星光能量的样子）,最终形态,电,原始形态,原始形态,否,NO081_星光狮（星光能量的样子）.png,/icons/NO081_%E6%98%9F%E5%85%89%E7%8B%AE%EF%BC%88%E6%98%9F%E5%85%89%E8%83%BD%E9%87%8F%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89.png,https://patchwiki.biligame.com/images/rocom/7/75/cjjrzihw6bz4uzfdn1npim98tas9p21.png,https://wiki.biligame.com/rocom/%E6%98%9F%E5%85%89%E7%8B%AE%EF%BC%88%E6%98%9F%E5%85%89%E8%83%BD%E9%87%8F%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89
NO.082,一窝蜂,Ⅰ阶,"虫, 翼",原始形态,原始形态,否,NO082_一窝蜂.png,/icons/NO082_%E4%B8%80%E7%AA%9D%E8%9C%82.png,https://patchwiki.biligame.com/images/rocom/d/de/drnf14ybuu1j1ulcxyktvpr52tlw89x.png,https://wiki.biligame.com/rocom/%E4%B8%80%E7%AA%9D%E8%9C%82
NO.083,黄蜂后,Ⅱ阶,"虫, 翼",原始形态,原始形态,否,NO083_黄蜂后.png,/icons/NO083_%E9%BB%84%E8%9C%82%E5%90%8E.png,https://patchwiki.biligame.com/images/rocom/c/cc/81ny58tuiqt9xd2e6tsi79lf7yigchq.png,https://wiki.biligame.com/rocom/%E9%BB%84%E8%9C%82%E5%90%8E
NO.084,花魁蜂后,最终形态,"虫, 翼",原始形态,原始形态,否,NO084_花魁蜂后.png,/icons/NO084_%E8%8A%B1%E9%AD%81%E8%9C%82%E5%90%8E.png,https://patchwiki.biligame.com/images/rocom/7/7c/la0ecwe4eufml69boq4366g7gbnfra1.png,https://wiki.biligame.com/rocom/%E8%8A%B1%E9%AD%81%E8%9C%82%E5%90%8E
NO.085,小夜,Ⅰ阶,恶,原始形态,原始形态,否,NO085_小夜.png,/icons/NO085_%E5%B0%8F%E5%A4%9C.png,https://patchwiki.biligame.com/images/rocom/7/72/482iqm8394vdtee3ylwiwyndj9tr8vq.png,https://wiki.biligame.com/rocom/%E5%B0%8F%E5%A4%9C
NO.086,紫夜,Ⅱ阶,恶,原始形态,原始形态,否,NO086_紫夜.png,/icons/NO086_%E7%B4%AB%E5%A4%9C.png,https://patchwiki.biligame.com/images/rocom/1/14/ev4kpmwhjhjkpbr8fkexil8olnj0qd5.png,https://wiki.biligame.com/rocom/%E7%B4%AB%E5%A4%9C
NO.087,朔夜伊芙,最终形态,恶,原始形态,原始形态,否,NO087_朔夜伊芙.png,/icons/NO087_%E6%9C%94%E5%A4%9C%E4%BC%8A%E8%8A%99.png,https://patchwiki.biligame.com/images/rocom/4/47/iefezmj355h7aifobba452t5fax5sup.png,https://wiki.biligame.com/rocom/%E6%9C%94%E5%A4%9C%E4%BC%8A%E8%8A%99
NO.088,乖乖鹄,Ⅰ阶,"翼, 水",原始形态,原始形态,否,NO088_乖乖鹄.png,/icons/NO088_%E4%B9%96%E4%B9%96%E9%B9%84.png,https://patchwiki.biligame.com/images/rocom/5/5a/t2rdnue1b6xwisya3nw5oyti9t2wdur.png,https://wiki.biligame.com/rocom/%E4%B9%96%E4%B9%96%E9%B9%84
NO.089,蓝珠天鹅,Ⅱ阶,"翼, 水",原始形态,原始形态,否,NO089_蓝珠天鹅.png,/icons/NO089_%E8%93%9D%E7%8F%A0%E5%A4%A9%E9%B9%85.png,https://patchwiki.biligame.com/images/rocom/5/5b/qho9vlfx1c2x6kn2a6hrbjx6b7ldqs8.png,https://wiki.biligame.com/rocom/%E8%93%9D%E7%8F%A0%E5%A4%A9%E9%B9%85
NO.090,翠顶夫人,最终形态,"翼, 水",原始形态,原始形态,否,NO090_翠顶夫人.png,/icons/NO090_%E7%BF%A0%E9%A1%B6%E5%A4%AB%E4%BA%BA.png,https://patchwiki.biligame.com/images/rocom/8/8d/0mse3bf6b98dflfbq9bwjeofgi8lo24.png,https://wiki.biligame.com/rocom/%E7%BF%A0%E9%A1%B6%E5%A4%AB%E4%BA%BA
NO.091,黑羽夫人,最终形态,"翼, 恶",原始形态,原始形态,否,NO091_黑羽夫人.png,/icons/NO091_%E9%BB%91%E7%BE%BD%E5%A4%AB%E4%BA%BA.png,https://patchwiki.biligame.com/images/rocom/6/63/6f0vzmzh3c2vr7vu4cli5ppzwcf18di.png,https://wiki.biligame.com/rocom/%E9%BB%91%E7%BE%BD%E5%A4%AB%E4%BA%BA
NO.092,锤头鹳,最终形态,"翼, 水",原始形态,原始形态,否,NO092_锤头鹳.png,/icons/NO092_%E9%94%A4%E5%A4%B4%E9%B9%B3.png,https://patchwiki.biligame.com/images/rocom/c/c8/0kv8ab3s5umo3dbcwsthu9xnpo9y1fc.png,https://wiki.biligame.com/rocom/%E9%94%A4%E5%A4%B4%E9%B9%B3
NO.093,绿草精灵,Ⅰ阶,"草, 幻",原始形态,原始形态,否,NO093_绿草精灵.png,/icons/NO093_%E7%BB%BF%E8%8D%89%E7%B2%BE%E7%81%B5.png,https://patchwiki.biligame.com/images/rocom/1/17/i57n7v6fkt96if840ri0w2jwf07rsgr.png,https://wiki.biligame.com/rocom/%E7%BB%BF%E8%8D%89%E7%B2%BE%E7%81%B5
NO.094,魔草巫灵,最终形态,"草, 幻",原始形态,原始形态,否,NO094_魔草巫灵.png,/icons/NO094_%E9%AD%94%E8%8D%89%E5%B7%AB%E7%81%B5.png,https://patchwiki.biligame.com/images/rocom/5/59/1efyfsgz5qsbi73ldyaoxlziimgv58k.png,https://wiki.biligame.com/rocom/%E9%AD%94%E8%8D%89%E5%B7%AB%E7%81%B5
NO.095,记忆石,最终形态,地,原始形态,原始形态,否,NO095_记忆石.png,/icons/NO095_%E8%AE%B0%E5%BF%86%E7%9F%B3.png,https://patchwiki.biligame.com/images/rocom/0/0a/q6hhh7atr12ne3qx79r3q311a3pcmo9.png,https://wiki.biligame.com/rocom/%E8%AE%B0%E5%BF%86%E7%9F%B3
NO.096,咔咔羽毛,Ⅰ阶,"翼, 普通",原始形态,原始形态,否,NO096_咔咔羽毛.png,/icons/NO096_%E5%92%94%E5%92%94%E7%BE%BD%E6%AF%9B.png,https://patchwiki.biligame.com/images/rocom/e/ed/ob21aol2viw67k7tp5830dj3rzphp66.png,https://wiki.biligame.com/rocom/%E5%92%94%E5%92%94%E7%BE%BD%E6%AF%9B
NO.097,咔咔雀,Ⅱ阶,"翼, 普通",原始形态,原始形态,否,NO097_咔咔雀.png,/icons/NO097_%E5%92%94%E5%92%94%E9%9B%80.png,https://patchwiki.biligame.com/images/rocom/9/9a/ap3uj4ncl7ems9nor7p2eekc040rowl.png,https://wiki.biligame.com/rocom/%E5%92%94%E5%92%94%E9%9B%80
NO.098,咔咔鸟,最终形态,"翼, 普通",原始形态,原始形态,否,NO098_咔咔鸟.png,/icons/NO098_%E5%92%94%E5%92%94%E9%B8%9F.png,https://patchwiki.biligame.com/images/rocom/f/fa/9xi3n8libbst7y2xe4bja79hfbmcmmn.png,https://wiki.biligame.com/rocom/%E5%92%94%E5%92%94%E9%B8%9F
NO.099,小草虫,Ⅰ阶,"虫, 草",原始形态,原始形态,否,NO099_小草虫.png,/icons/NO099_%E5%B0%8F%E8%8D%89%E8%99%AB.png,https://patchwiki.biligame.com/images/rocom/a/a3/4wnznw67s6p9vg2jru046cjq7q8qs8w.png,https://wiki.biligame.com/rocom/%E5%B0%8F%E8%8D%89%E8%99%AB
NO.100,草衣虫,Ⅱ阶,"虫, 草",原始形态,原始形态,否,NO100_草衣虫.png,/icons/NO100_%E8%8D%89%E8%A1%A3%E8%99%AB.png,https://patchwiki.biligame.com/images/rocom/9/92/cxu0820j279llw3cmwkhmhqa0cac6ui.png,https://wiki.biligame.com/rocom/%E8%8D%89%E8%A1%A3%E8%99%AB
NO.101,花衣蝶,最终形态,"虫, 草",原始形态,原始形态,否,NO101_花衣蝶.png,/icons/NO101_%E8%8A%B1%E8%A1%A3%E8%9D%B6.png,https://patchwiki.biligame.com/images/rocom/c/ca/ssjrnqrtjz4ftobafu4guizlkdpye0f.png,https://wiki.biligame.com/rocom/%E8%8A%B1%E8%A1%A3%E8%9D%B6
NO.102,绿翼鸟,Ⅰ阶,"萌, 翼",原始形态,原始形态,否,NO102_绿翼鸟.png,/icons/NO102_%E7%BB%BF%E7%BF%BC%E9%B8%9F.png,https://patchwiki.biligame.com/images/rocom/6/64/6legu9g43vllzz0bwdewrpp0f6zmwdu.png,https://wiki.biligame.com/rocom/%E7%BB%BF%E7%BF%BC%E9%B8%9F
NO.103,魔翼鸟,Ⅱ阶,"萌, 翼",原始形态,原始形态,否,NO103_魔翼鸟.png,/icons/NO103_%E9%AD%94%E7%BF%BC%E9%B8%9F.png,https://patchwiki.biligame.com/images/rocom/4/4d/di46fdrniv7kdxjfmi5kym1373p4xme.png,https://wiki.biligame.com/rocom/%E9%AD%94%E7%BF%BC%E9%B8%9F
NO.104,魔眷鸟,最终形态,"萌, 翼",原始形态,原始形态,否,NO104_魔眷鸟.png,/icons/NO104_%E9%AD%94%E7%9C%B7%E9%B8%9F.png,https://patchwiki.biligame.com/images/rocom/7/76/qdoq3s6blcshbk7z6iki63glfphv1ap.png,https://wiki.biligame.com/rocom/%E9%AD%94%E7%9C%B7%E9%B8%9F
NO.105,阿米亚特,Ⅰ阶,地,原始形态,原始形态,否,NO105_阿米亚特.png,/icons/NO105_%E9%98%BF%E7%B1%B3%E4%BA%9A%E7%89%B9.png,https://patchwiki.biligame.com/images/rocom/0/01/qzl2l4nltxeu187qw1a2ybgfe5qj2tf.png,https://wiki.biligame.com/rocom/%E9%98%BF%E7%B1%B3%E4%BA%9A%E7%89%B9
NO.106,阿米樱,Ⅱ阶,地,原始形态,原始形态,否,NO106_阿米樱.png,/icons/NO106_%E9%98%BF%E7%B1%B3%E6%A8%B1.png,https://patchwiki.biligame.com/images/rocom/c/c6/mlsnrq1x6vea9vvb932aajlqpafb72q.png,https://wiki.biligame.com/rocom/%E9%98%BF%E7%B1%B3%E6%A8%B1
NO.107,罗隐,最终形态,"地, 恶",原始形态,原始形态,否,NO107_罗隐.png,/icons/NO107_%E7%BD%97%E9%9A%90.png,https://patchwiki.biligame.com/images/rocom/3/38/495925un1xk6eioymvva969ahadlk3m.png,https://wiki.biligame.com/rocom/%E7%BD%97%E9%9A%90
NO.108,风铃鲨,Ⅰ阶,"水, 翼",原始形态,原始形态,否,NO108_风铃鲨.png,/icons/NO108_%E9%A3%8E%E9%93%83%E9%B2%A8.png,https://patchwiki.biligame.com/images/rocom/f/fe/88nqs9bcxmqlj6ad7xoyz36k5fxw4qe.png,https://wiki.biligame.com/rocom/%E9%A3%8E%E9%93%83%E9%B2%A8
NO.109,蓝蝶鲨,Ⅱ阶,"水, 翼",原始形态,原始形态,否,NO109_蓝蝶鲨.png,/icons/NO109_%E8%93%9D%E8%9D%B6%E9%B2%A8.png,https://patchwiki.biligame.com/images/rocom/0/0a/ti363dbka1pfizpes11yhv112jlt4j5.png,https://wiki.biligame.com/rocom/%E8%93%9D%E8%9D%B6%E9%B2%A8
NO.110,彩蝶鲨,最终形态,"水, 翼",原始形态,原始形态,否,NO110_彩蝶鲨.png,/icons/NO110_%E5%BD%A9%E8%9D%B6%E9%B2%A8.png,https://patchwiki.biligame.com/images/rocom/5/51/eeqyrw3rswylx1c4sc3kxpzfgu5yqgm.png,https://wiki.biligame.com/rocom/%E5%BD%A9%E8%9D%B6%E9%B2%A8
NO.111,石石,Ⅰ阶,地,原始形态,原始形态,否,NO111_石石.png,/icons/NO111_%E7%9F%B3%E7%9F%B3.png,https://patchwiki.biligame.com/images/rocom/c/c6/ozlttesinkk43ayc3sv3tbab5ckbshi.png,https://wiki.biligame.com/rocom/%E7%9F%B3%E7%9F%B3
NO.112,巨灵石,最终形态,"地, 幽",原始形态,原始形态,否,NO112_巨灵石.png,/icons/NO112_%E5%B7%A8%E7%81%B5%E7%9F%B3.png,https://patchwiki.biligame.com/images/rocom/c/c1/c0lw5946cwte5stco3xurz3c0d98x2t.png,https://wiki.biligame.com/rocom/%E5%B7%A8%E7%81%B5%E7%9F%B3
NO.113,仪使者,Ⅰ阶,"地, 幻",原始形态,原始形态,否,NO113_仪使者.png,/icons/NO113_%E4%BB%AA%E4%BD%BF%E8%80%85.png,https://patchwiki.biligame.com/images/rocom/9/98/a4s6v19kpxbuk9cprtbjxwgs2xwxi70.png,https://wiki.biligame.com/rocom/%E4%BB%AA%E4%BD%BF%E8%80%85
NO.114,仪式之星,Ⅱ阶,"地, 幻",原始形态,原始形态,否,NO114_仪式之星.png,/icons/NO114_%E4%BB%AA%E5%BC%8F%E4%B9%8B%E6%98%9F.png,https://patchwiki.biligame.com/images/rocom/a/a3/oomva04tf8o7qrqqakm0jxwilzw3c8o.png,https://wiki.biligame.com/rocom/%E4%BB%AA%E5%BC%8F%E4%B9%8B%E6%98%9F
NO.115,仪式巨像,最终形态,"地, 幻",原始形态,原始形态,否,NO115_仪式巨像.png,/icons/NO115_%E4%BB%AA%E5%BC%8F%E5%B7%A8%E5%83%8F.png,https://patchwiki.biligame.com/images/rocom/6/6d/5ye4a7k1u4q5lzf6ibnmwb1d3vtzlld.png,https://wiki.biligame.com/rocom/%E4%BB%AA%E5%BC%8F%E5%B7%A8%E5%83%8F
NO.116,小独角兽,Ⅰ阶,光,原始形态,原始形态,否,NO116_小独角兽.png,/icons/NO116_%E5%B0%8F%E7%8B%AC%E8%A7%92%E5%85%BD.png,https://patchwiki.biligame.com/images/rocom/e/ec/qdyvecckyuhnazeotxq9wkxwzb4ws8o.png,https://wiki.biligame.com/rocom/%E5%B0%8F%E7%8B%AC%E8%A7%92%E5%85%BD
NO.117,白金独角兽,最终形态,光,原始形态,原始形态,否,NO117_白金独角兽.png,/icons/NO117_%E7%99%BD%E9%87%91%E7%8B%AC%E8%A7%92%E5%85%BD.png,https://patchwiki.biligame.com/images/rocom/b/b0/6mn7g1bmit3kop684uwf2ns9tg4rsed.png,https://wiki.biligame.com/rocom/%E7%99%BD%E9%87%91%E7%8B%AC%E8%A7%92%E5%85%BD
NO.118,旋叶虫（金黄的样子）,Ⅰ阶,"普通, 虫",原始形态,原始形态,否,NO118_旋叶虫（金黄的样子）.png,/icons/NO118_%E6%97%8B%E5%8F%B6%E8%99%AB%EF%BC%88%E9%87%91%E9%BB%84%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89.png,https://patchwiki.biligame.com/images/rocom/d/d6/jparkpdxm8e8qe6r164oni4tduf4qsq.png,https://wiki.biligame.com/rocom/%E6%97%8B%E5%8F%B6%E8%99%AB%EF%BC%88%E9%87%91%E9%BB%84%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89
